0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.707105,0.720436,0.965834,0.961682,0.966583,0.714196,0.965201,0.712432,0.738116,0.962893,1.0,0.962255,0.967414,0.730254,0.727413,0.76174,0.774051,0.764193,0.964158,0.772929,0.738139,0.724212,0.69701,0.961276,0.74289,0.760155,0.741612,0.767979,0.773823,0.754952,0.958973,0.716804,0.966088,0.722226,0.72572,0.721304,0.736445,0.961709,0.769006,0.729037,0.697447,0.958026,0.72683,0.740021,0.960013,0.751582,0.962105,0.748559,0.729941,0.742356,0.747106,0.741904,0.741578,0.715701,0.964262,0.726411,0.747043,0.709955,0.759412,0.752376,0.763977,0.961948,0.703803,0.732725,0.965617,0.730666,0.760641,0.708888,0.723382,0.716201,0.739401,0.784269,0.966513,0.739121,0.714407,0.759491,0.743343,0.963348,0.717257,0.74585,0.693428,0.737945,0.965699,0.743459,0.747687,0.746843,0.730403,0.767393,0.762255,0.745249,0.721183,0.736121,0.742739,0.728089,0.762612,0.968617,0.737016,0.73809,0.74713,0.737426
0.665169,0.721118,0.960272,0.961876,0.961117,0.712539,0.959469,0.728102,0.687034,0.957319,0.962255,1.0,0.95832,0.691235,0.714522,0.736454,0.715332,0.716622,0.961797,0.75371,0.747122,0.71647,0.681627,0.962018,0.742111,0.746451,0.684563,0.710007,0.745993,0.757126,0.965371,0.718986,0.962929,0.694899,0.733832,0.714829,0.731199,0.958042,0.731697,0.691632,0.70249,0.966181,0.740167,0.736302,0.962789,0.706308,0.96587,0.714512,0.700145,0.714391,0.685554,0.71296,0.694768,0.690196,0.962623,0.702521,0.736953,0.71989,0.742654,0.731445,0.712897,0.96068,0.718571,0.708314,0.967897,0.719837,0.703713,0.717455,0.704576,0.694134,0.755609,0.74713,0.96436,0.716,0.727294,0.715156,0.730728,0.959191,0.691048,0.705449,0.668411,0.725547,0.958056,0.734311,0.737559,0.734624,0.707092,0.722499,0.699924,0.72505,0.711799,0.698156,0.725721,0.701764,0.759702,0.969022,0.693461,0.751052,0.73522,0.721247
0.735824,0.732023,0.964531,0.967074,0.961465,0.750281,0.96761,0.74049,0.748176,0.962317,0.967414,0.95832,1.0,0.735564,0.744139,0.75057,0.760797,0.763756,0.964944,0.768653,0.751533,0.746072,0.709307,0.963492,0.760454,0.76013,0.75133,0.755085,0.730675,0.763769,0.966176,0.733308,0.962653,0.735999,0.746065,0.733841,0.746387,0.963963,0.743837,0.747563,0.734103,0.96623,0.761096,0.76694,0.966174,0.750863,0.957671,0.74675,0.719935,0.730734,0.737765,0.744117,0.738864,0.719133,0.966885,0.713503,0.741578,0.734319,0.752605,0.762774,0.753026,0.968773,0.72665,0.751939,0.965438,0.72683,0.74192,0.722993,0.74714,0.712485,0.736853,0.770693,0.968927,0.737197,0.747819,0.739458,0.78236,0.96714,0.709805,0.744301,0.731675,0.744922,0.966405,0.746532,0.758274,0.737774,0.715836,0.752524,0.745626,0.745648,0.738048,0.716307,0.733547,0.724935,0.761611,0.964006,0.738919,0.762481,0.740031,0.75151
0.963734,0.751762,0.734824,0.701642,0.72718,0.968736,0.713091,0.743847,0.764844,0.730778,0.730254,0.691235,0.735564,1.0,0.68012,0.759441,0.962039,0.736389,0.732199,0.759921,0.700066,0.969801,0.962533,0.756284,0.747215,0.803041,0.751551,0.964611,0.739492,0.797001,0.72919,0.695621,0.726169,0.689584,0.689155,0.729526,0.76228,0.728158,0.767592,0.752774,0.71524,0.697978,0.69435,0.727333,0.708975,0.761249,0.759398,0.721077,0.684165,0.763264,0.735863,0.957795,0.738676,0.752409,0.72509,0.74242,0.739267,0.964414,0.742523,0.790028,0.770213,0.729048,0.727743,0.962954,0.737248,0.789881,0.7253,0.727624,0.962716,0.961731,0.742714,0.743173,0.753232,0.710199,0.695059,0.763546,0.701849,0.696773,0.736655,0.964441,0.963932,0.777931,0.717427,0.79285,0.758001,0.721327,0.741612,0.721242,0.960715,0.741428,0.967295,0.962291,0.769207,0.764408,0.755586,0.70785,0.760911,0.780026,0.751002,0.660477
0.702142,0.76547,0.737231,0.723267,0.733816,0.731223,0.741922,0.72544,0.737977,0.741686,0.727413,0.714522,0.744139,0.68012,1.0,0.706989,0.706657,0.776285,0.742959,0.741866,0.966445,0.692266,0.678942,0.744649,0.704358,0.708193,0.778629,0.713756,0.71216,0.741234,0.706339,0.961646,0.754311,0.966022,0.960629,0.964888,0.732161,0.749163,0.705604,0.732585,0.963793,0.757665,0.962406,0.733335,0.754161,0.697518,0.755868,0.766236,0.95837,0.767659,0.756496,0.708666,0.780765,0.7331,0.756426,0.730042,0.750258,0.705985,0.713016,0.705278,0.723378,0.727034,0.962731,0.744722,0.752323,0.741008,0.743395,0.707468,0.71632,0.710923,0.960535,0.730909,0.73972,0.757932,0.963704,0.748049,0.963774,0.774551,0.752458,0.714434,0.704128,0.711242,0.768465,0.72531,0.727238,0.733032,0.735261,0.762793,0.707771,0.735456,0.71814,0.712705,0.707188,0.724479,0.714433,0.754863,0.724176,0.72566,0.76077,0.965087
0.750224,0.704463,0.730434,0.72565,0.715917,0.727024,0.722208,0.956131,0.721291,0.734686,0.76174,0.736454,0.75057,0.759441,0.706989,1.0,0.747933,0.728895,0.708959,0.958203,0.751585,0.745632,0.751919,0.756236,0.967475,0.958953,0.693138,0.752859,0.958236,0.961372,0.703971,0.727323,0.708572,0.710111,0.707905,0.716594,0.960642,0.733344,0.960806,0.725388,0.717778,0.708926,0.713528,0.961705,0.731657,0.962888,0.732594,0.718419,0.728547,0.702382,0.703424,0.748039,0.696147,0.692257,0.730706,0.69689,0.718983,0.758092,0.955241,0.962309,0.962741,0.721508,0.717852,0.739387,0.721798,0.964415,0.712309,0.957429,0.77065,0.753548,0.707557,0.964525,0.746261,0.729059,0.719639,0.695773,0.721932,0.735893,0.697976,0.755195,0.736698,0.958678,0.717339,0.964528,0.965596,0.722829,0.715054,0.726395,0.76645,0.958579,0.74778,0.72529,0.960248,0.96676,0.95942,0.73314,0.708686,0.965404,0.70287,0.687063
0.964415,0.687955,0.732473,0.723777,0.734538,0.968095,0.750351,0.716322,0.699098,0.737045,0.774051,0.715332,0.760797,0.962039,0.706657,0.747933,1.0,0.700519,0.735724,0.725832,0.681013,0.970362,0.965019,0.738374,0.711735,0.73987,0.704329,0.961237,0.703152,0.752121,0.735819,0.67143,0.752386,0.702005,0.668037,0.707821,0.738775,0.745255,0.745862,0.693139,0.667099,0.73298,0.698346,0.727672,0.729187,0.742105,0.754474,0.695494,0.651843,0.714914,0.69555,0.960212,0.676315,0.716736,0.720465,0.682156,0.699086,0.962728,0.716205,0.747631,0.724382,0.71021,0.720763,0.958628,0.735347,0.725003,0.720412,0.699274,0.960392,0.961175,0.705625,0.727792,0.762115,0.680462,0.679871,0.708863,0.676266,0.741366,0.702554,0.960502,0.963545,0.731922,0.727501,0.745378,0.755324,0.692289,0.667214,0.703091,0.958269,0.721206,0.961661,0.959505,0.724617,0.703354,0.725153,0.743423,0.714681,0.739414,0.697398,0.684464
0.737225,0.968926,0.735997,0.745641,0.775542,0.720923,0.768781,0.723062,0.965017,0.738548,0.764193,0.716622,0.763756,0.736389,0.776285,0.728895,0.700519,1.0,0.758842,0.695654,0.774492,0.733224,0.696089,0.746073,0.701297,0.700598,0.970082,0.731693,0.715415,0.70638,0.739055,0.745964,0.725915,0.734771,0.725138,0.731638,0.713869,0.749034,0.722127,0.963527,0.7638,0.735196,0.758073,0.708468,0.787702,0.723759,0.75193,0.961874,0.746092,0.967832,0.968894,0.741849,0.962943,0.969568,0.790288,0.968167,0.963472,0.719457,0.696534,0.739115,0.711184,0.748068,0.721509,0.738958,0.732954,0.718506,0.971878,0.708598,0.735259,0.739918,0.743782,0.690239,0.749241,0.96449,0.732614,0.966714,0.753454,0.752896,0.962933,0.72862,0.704926,0.720265,0.718612,0.730967,0.719265,0.958089,0.966836,0.966216,0.729726,0.684901,0.721826,0.742976,0.690147,0.702375,0.707058,0.739789,0.963101,0.719086,0.963076,0.734118
0.736532,0.769967,0.965143,0.967662,0.968542,0.705866,0.968593,0.73536,0.725351,0.961863,0.964158,0.961797,0.964944,0.732199,0.742959,0.708959,0.735724,0.758842,1.0,0.735047,0.747362,0.724485,0.717033,0.963702,0.750549,0.736582,0.721419,0.746346,0.743609,0.751533,0.970735,0.757356,0.966157,0.753568,0.73075,0.729955,0.732927,0.962086,0.733899,0.707487,0.737963,0.965967,0.759405,0.730772,0.961112,0.721062,0.969402,0.737313,0.760325,0.7475,0.728689,0.729099,0.740229,0.736873,0.969458,0.726699,0.739839,0.729906,0.745117,0.728426,0.739946,0.96525,0.722949,0.754447,0.967432,0.721076,0.760891,0.706549,0.702923,0.70621,0.74409,0.750312,0.965451,0.750122,0.768364,0.738625,0.738876,0.967956,0.72006,0.726239,0.712721,0.712731,0.96834,0.738022,0.70468,0.736509,0.736211,0.746832,0.754594,0.744173,0.726699,0.718806,0.703748,0.735298,0.753453,0.968117,0.728331,0.741403,0.745336,0.763411
0.720087,0.684782,0.721739,0.769417,0.751963,0.708788,0.745364,0.964127,0.704504,0.766511,0.772929,0.75371,0.768653,0.759921,0.741866,0.958203,0.725832,0.695654,0.735047,1.0,0.773102,0.751684,0.736715,0.761133,0.960356,0.964468,0.701065,0.729277,0.958733,0.968844,0.721641,0.74216,0.73572,0.742567,0.745051,0.760753,0.965394,0.761115,0.970134,0.682255,0.740252,0.735226,0.748793,0.967912,0.718157,0.964422,0.744754,0.723458,0.737536,0.683367,0.709329,0.748024,0.720477,0.739104,0.73156,0.72109,0.732906,0.756353,0.958875,0.963463,0.96418,0.752116,0.757349,0.756002,0.743587,0.971558,0.710964,0.962427,0.75161,0.758677,0.698472,0.960697,0.747991,0.733822,0.732204,0.716504,0.763475,0.758849,0.688165,0.757106,0.747152,0.959249,0.751186,0.965814,0.964369,0.735189,0.709733,0.710784,0.759754,0.966709,0.761733,0.728208,0.958459,0.95739,0.96638,0.759939,0.709615,0.9648,0.716296,0.719934
